Precip (in)	Date			Precip (mm)
===================================================
2.68		July 17, 2018		68.1
2.13		June 16, 2017		54.1
1.84		October 09, 2016	46.7
2.46		September 30, 2015	62.5
2.90		December 09, 2014	73.7
3.07		June 07, 2013		78.0
1.74		July 18, 2012		44.2
1.82		June 22, 2011		46.2
3.40		March 14, 2010  	86.4
2.11		September 12, 2009	53.6
2.66		February 13, 2008	67.6
2.32		July 28, 2007		58.9
3.84		May 13, 2006		97.5
2.89		October 15, 2005	73.4
4.29		April 01, 2004		109.0
2.00		October 12, 2003	50.8
1.99		December 14, 2002	50.5
2.59		March 22, 2001		65.8
4.00		June 06, 2000		101.6
4.71		September 10, 1999	119.6
5.69		June 13, 1998		144.5
1.48		November 01, 1997	37.6
6.11		October 20, 1996	155.2
2.77		September 17, 1995	70.4
2.64		September 23, 1994	67.1
2.76		December 05, 1993	70.1
4.21		December 12, 1992	106.9
3.32		April 21, 1991		84.3
3.34		October 14, 1990	84.8
2.13		August 13, 1989		54.1
2.40		July 24, 1988		61.0
2.52		April 05, 1987		64.0
2.98		June 06, 1986		75.7
3.58		August 01, 1985		90.9
4.12		May 31, 1984		104.6
2.76		November 25, 1983	70.1
2.94		June 05, 1982		74.7
2.15		February 25, 1981	54.6
1.84		October 25, 1980	46.7
2.52		January 21, 1979	64.0
2.05		January 20, 1978	52.1
2.29		May 09, 1977		58.2
2.25		August 09, 1976		57.2
2.26		August 30, 1975		57.4
2.64		October 16, 1974	67.1
2.64		December 17, 1973	67.1
3.15		September 03, 1972	80.0
2.59		November 25, 1971	65.8
2.82		December 17, 1970	71.6
3.51		December 26, 1969	89.2
3.49		March 18, 1968		88.6
2.63		May 25, 1967		66.8
1.65		February 13, 1966	41.9
1.87		February 25, 1965	47.5
1.71		December 27, 1964	43.4
2.34		November 29, 1963	59.4
3.00		October 06, 1962	76.2
2.90		September 25, 1961	73.7
2.95		September 12, 1960	74.9
2.36		July 11, 1959		59.9
2.64		February 16, 1958	67.1
1.90		December 26, 1957	48.3
2.33		October 23, 1956	59.2
7.06		August 19, 1955		179.3
5.63		September 11, 1954	143.0
2.54		November 07, 1953	64.5
2.49		August 05, 1952		63.2
1.73		May 24, 1951		43.9
2.04		November 21, 1950	51.8
2.11		September 01, 1949	53.6
1.81		November 20, 1948	46.0
3.11		November 12, 1947	79.0
2.19		August 27, 1946		55.6
2.46		December 06, 1945	62.5
2.46		September 14, 1944	62.5
2.15		March 06, 1943		54.6
1.81		January 19, 1942	46.0
1.75		March 08, 1941		44.5
1.48		July 04, 1940		37.6
2.54		October 31, 1939	64.5
2.33		July 21, 1938		59.2
2.91		December 06, 1937	73.9
2.10		September 18, 1936	53.3
2.19		January 10, 1935	55.6
1.87		February 20, 1934	47.5
5.63		September 16, 1933	143.0
3.13		October 18, 1932	79.5
3.07		June 09, 1931		78.0
3.23		October 15, 1930	82.0
2.50		April 16, 1929		63.5
1.69		September 20, 1928	42.9
1.88		August 01, 1927		47.8
2.33		July 24, 1926		59.2
1.65		December 03, 1925	41.9
4.15		August 26, 1924		105.4
1.58		October 23, 1923	40.1
3.32		June 19, 1922		84.3
6.04		July 09, 1921		153.4
3.23		May 22, 1920		82.0
2.94		September 03, 1919	74.7
2.30		September 13, 1918	58.4
2.97		August 10, 1917		75.4
2.03		July 03, 1916		51.6
4.45		July 01, 1915		113.0
1.66		November 19, 1914	42.2
1.42		April 13, 1913		36.1
2.52		July 18, 1912		64.0
3.49		July 28, 1911		88.6
1.73		November 04, 1910	43.9
2.43		June 05, 1909		61.7
1.73		August 07, 1908		43.9
2.83		September 29, 1907	71.9
2.39		May 28, 1906		60.7
2.88		September 03, 1905	73.2
3.48		September 15, 1904	88.4
2.45		June 15, 1903		62.2
1.84		October 28, 1902	46.7
2.10		April 25, 1901		53.3
2.40		May 03, 1900		61.0
2.82		September 20, 1899	71.6
2.45		February 21, 1898	62.2
1.77		November 12, 1897	45.0
2.10		September 06, 1896	53.3
4.85		October 13, 1895	123.2
2.32		December 27, 1894	58.9
2.71		May 04, 1893		68.8
