Year          Month         Day         NAM @ 1000 hPa [std]
=====================================================
1950              1            1          -0.830
1950              1            2          -0.356
1950              1            3          -0.252
1950              1            4          -0.364
1950              1            5           0.092
1950              1            6           0.114
1950              1            7          -0.333
1950              1            8          -0.627
1950              1            9          -0.507
1950              1           10          -0.409
1950              1           11          -0.106
1950              1           12           0.003
1950              1           13           0.117
1950              1           14           0.155
1950              1           15          -0.144
1950              1           16          -0.580
1950              1           17          -0.686
1950              1           18          -0.581
1950              1           19          -0.526
1950              1           20          -0.185
1950              1           21           0.148
1950              1           22           0.644
1950              1           23           0.810
1950              1           24           0.790
1950              1           25           0.469
1950              1           26           0.110
1950              1           27           0.064
1950              1           28           0.247
1950              1           29           0.478
1950              1           30           0.486
1950              1           31           0.694
1950              2            1           0.635
1950              2            2           0.280
1950              2            3           0.201
1950              2            4           0.420
1950              2            5           0.634
1950              2            6           0.654
1950              2            7           0.625
1950              2            8           0.451
1950              2            9           0.269
1950              2           10           0.103
1950              2           11           0.051
1950              2           12           0.070
1950              2           13           0.123
1950              2           14           0.469
1950              2           15           0.639
1950              2           16           0.646
1950              2           17           0.677
1950              2           18           0.780
1950              2           19           0.592
1950              2           20           0.402
1950              2           21           0.098
1950              2           22           0.088
1950              2           23           0.285
1950              2           24           0.528
1950              2           25           0.297
1950              2           26           0.187
1950              2           27           0.155
1950              2           28          -0.111
1950              3            1          -0.280
1950              3            2          -0.305
1950              3            3           0.384
1950              3            4           1.266
1950              3            5           1.093
1950              3            6           0.152
1950              3            7          -0.196
1950              3            8          -0.483
1950              3            9          -0.623
1950              3           10          -0.562
1950              3           11          -0.690
1950              3           12          -1.132
1950              3           13          -1.479
1950              3           14          -1.656
1950              3           15          -1.802
1950              3           16          -1.141
1950              3           17          -0.215
1950              3           18           0.297
1950              3           19           0.569
1950              3           20           0.790
1950              3           21           0.818
1950              3           22           0.489
1950              3           23           0.458
1950              3           24           0.234
1950              3           25          -0.249
1950              3           26          -0.363
