Year          Month         NINO3.4 (std)
============================================
1950              1           -1.734
1950              2           -1.728
1950              3           -1.874
1950              4           -2.347
1950              5           -2.579
1950              6           -1.755
1950              7           -1.261
1950              8           -1.227
1950              9           -1.133
1950             10           -0.941
1950             11           -1.002
1950             12           -1.030
1951              1           -1.136
1951              2           -1.059
1951              3           -0.451
1951              4           -0.213
1951              5            0.174
1951              6            0.217
1951              7            0.595
1951              8            0.245
1951              9            0.572
1951             10            0.509
1951             11            0.544
1951             12            0.284
1952              1            0.104
1952              2            0.000
1952              3           -0.082
1952              4            0.148
1952              5           -0.032
1952              6           -0.637
1952              7           -0.921
1952              8           -0.697
1952              9           -0.423
1952             10           -0.394
1952             11           -0.613
1952             12           -0.284
1953              1            0.165
1953              2            0.257
1953              3            0.465
1953              4            0.542
1953              5            0.744
1953              6            0.823
1953              7            0.354
1953              8            0.142
1953              9            0.320
1953             10            0.192
1953             11            0.216
1953             12            0.357
1954              1            0.373
1954              2            0.298
1954              3           -0.451
1954              4           -1.740
1954              5           -1.092
1954              6           -1.227
1954              7           -1.516
1954              8           -1.821
1954              9           -1.842
1954             10           -1.383
1954             11           -0.915
1954             12           -1.054
1955              1           -0.815
1955              2           -0.967
1955              3           -1.381
1955              4           -1.822
1955              5           -1.820
1955              6           -1.616
1955              7           -1.459
1955              8           -1.718
1955              9           -1.648
1955             10           -2.170
1955             11           -2.046
1955             12           -1.613
1956              1           -1.049
1956              2           -1.008
1956              3           -1.067
1956              4           -1.411
1956              5           -1.076
1956              6           -1.212
1956              7           -1.346
1956              8           -1.485
1956              9           -1.133
1956             10           -0.893
1956             11           -0.924
1956             12           -0.689
1957              1           -0.442
1957              2           -0.216
1957              3            0.301
1957              4            0.853
1957              5            1.171
1957              6            1.196
1957              7            1.403
1957              8            1.111
1957              9            0.812
1957             10            0.711
1957             11            0.855
1957             12            1.086
1958              1            1.543
1958              2            1.543
1958              3            1.409
1958              4            0.935
1958              5            0.791
1958              6            0.621
1958              7            0.198
1958              8            0.013
1958              9           -0.378
1958             10           -0.221
1958             11            0.112
1958             12            0.041
1959              1            0.451
1959              2            0.452
1959              3            0.328
1959              4            0.279
1959              5           -0.174
1959              6           -0.342
1959              7           -1.049
1959              8           -0.956
1959              9           -0.927
1959             10           -0.413
1959             11           -0.501
1959             12           -0.308
1960              1           -0.251
1960              2           -0.463
1960              3           -0.342
1960              4           -0.361
1960              5           -0.206
1960              6           -0.544
1960              7           -0.425
1960              8           -0.168
1960              9           -0.332
1960             10           -0.432
1960             11           -0.319
1960             12           -0.276
1961              1           -0.277
1961              2           -0.185
1961              3           -0.410
1961              4           -0.574
1961              5           -0.095
1961              6            0.109
1961              7           -0.411
1961              8           -0.839
1961              9           -1.087
1961             10           -0.922
1961             11           -0.484
1961             12           -0.478
1962              1           -0.512
1962              2           -0.576
1962              3           -0.602
1962              4           -0.952
1962              5           -1.203
1962              6           -0.792
1962              7           -0.595
1962              8           -0.659
1962              9           -0.904
1962             10           -0.682
1962             11           -0.751
1962             12           -0.722
1963              1           -0.676
1963              2           -0.535
1963              3           -0.068
1963              4            0.115
1963              5           -0.285
1963              6            0.031
1963              7            0.850
1963              8            0.826
1963              9            0.767
1963             10            0.653
1963             11            0.725
1963             12            0.859
1964              1            0.685
1964              2            0.401
1964              3           -0.301
1964              4           -1.247
1964              5           -1.567
1964              6           -1.569
1964              7           -1.190
1964              8           -1.601
1964              9           -1.613
1964             10           -1.258
1964             11           -1.183
1964             12           -1.086
1965              1           -0.780
1965              2           -0.566
1965              3           -0.397
1965              4           -0.542
1965              5            0.285
1965              6            0.777
1965              7            1.020
1965              8            1.472
1965              9            1.465
1965             10            1.431
1965             11            1.287
1965             12            1.127
1966              1            0.971
1966              2            0.833
1966              3            1.340
1966              4            0.739
1966              5           -0.411
1966              6            0.078
1966              7            0.213
1966              8           -0.452
1966              9           -0.515
1966             10           -0.432
1966             11           -0.345
1966             12           -0.430
1967              1           -0.581
1967              2           -0.648
1967              3           -0.998
1967              4           -1.592
