Year        Month      NPMM Index (std)
------------------------------------------
1950            1         0.680
1950            2        -0.076
1950            3        -0.122
1950            4         0.203
1950            5        -0.954
1950            6         0.676
1950            7        -0.043
1950            8         1.282
1950            9         0.157
1950           10        -1.231
1950           11         1.665
1950           12        -0.001
1951            1        -0.800
1951            2        -0.583
1951            3         0.729
1951            4         0.096
1951            5         0.490
1951            6         2.102
1951            7        -1.226
1951            8        -0.479
1951            9         0.441
1951           10         0.273
1951           11        -1.592
1951           12        -0.769
1952            1        -1.114
1952            2        -1.094
1952            3        -1.518
1952            4        -0.784
1952            5        -1.047
1952            6        -0.720
1952            7         0.800
1952            8         0.158
1952            9        -0.472
1952           10        -1.135
1952           11        -1.448
1952           12        -0.486
1953            1         1.105
1953            2        -1.090
1953            3        -1.315
1953            4         0.482
1953            5         0.063
1953            6        -0.140
1953            7        -1.118
1953            8        -1.855
1953            9        -0.847
1953           10        -0.802
1953           11        -1.758
1953           12        -0.661
1954            1        -0.140
1954            2         0.309
1954            3        -0.325
1954            4         1.617
1954            5        -0.896
1954            6        -0.008
1954            7        -1.096
1954            8        -0.712
1954            9         0.183
1954           10        -0.434
1954           11         1.321
1954           12        -0.749
1955            1        -1.822
1955            2        -1.103
1955            3        -0.426
1955            4        -1.023
1955            5        -1.381
1955            6         0.012
1955            7        -0.693
1955            8        -1.681
1955            9        -1.916
1955           10        -0.976
1955           11         0.415
1955           12         1.366
1956            1         0.242
1956            2        -0.306
1956            3        -0.673
1956            4        -0.003
1956            5        -1.235
1956            6        -0.730
1956            7        -0.096
1956            8        -0.313
1956            9        -0.049
1956           10        -0.040
1956           11         1.380
1956           12         1.540
1957            1        -0.530
1957            2         0.468
1957            3         0.281
1957            4        -0.651
1957            5         0.692
1957            6         2.483
1957            7        -0.389
1957            8        -0.596
1957            9         1.095
1957           10         1.743
1957           11         0.535
1957           12        -1.782
1958            1        -0.309
1958            2         1.454
1958            3        -0.615
1958            4        -0.438
1958            5        -1.471
1958            6         0.796
1958            7        -0.046
1958            8        -1.010
1958            9         0.061
1958           10        -1.173
1958           11         0.342
1958           12         0.199
1959            1         0.521
1959            2        -1.182
1959            3        -0.487
1959            4         0.674
1959            5         0.139
1959            6         2.393
1959            7         1.633
1959            8         0.887
1959            9         0.712
1959           10         1.159
1959           11         0.268
1959           12        -1.559
1960            1        -0.624
1960            2        -0.292
1960            3         0.666
1960            4        -0.470
1960            5        -0.232
1960            6         1.058
1960            7        -0.538
1960            8        -1.072
1960            9        -1.018
1960           10        -0.062
1960           11        -1.244
1960           12         0.397
1961            1         1.029
1961            2        -0.587
1961            3         0.341
1961            4         0.728
1961            5        -1.103
1961            6        -0.423
1961            7         0.141
1961            8        -0.827
1961            9        -0.056
1961           10         0.389
1961           11        -0.661
1961           12         0.491
1962            1         0.782
1962            2         0.320
1962            3        -0.283
1962            4         1.177
1962            5        -0.483
1962            6         2.535
1962            7        -0.076
1962            8        -1.288
1962            9        -1.636
1962           10         0.347
1962           11        -1.539
1962           12         1.371
1963            1         2.657
1963            2         2.049
1963            3        -0.228
1963            4         0.263
1963            5        -1.092
1963            6         0.077
1963            7        -0.506
1963            8        -0.117
1963            9        -0.752
1963           10         0.045
1963           11         0.631
1963           12         1.225
1964            1        -1.864
1964            2        -1.186
1964            3        -0.423
1964            4        -0.746
1964            5         0.166
1964            6         2.491
1964            7        -1.144
1964            8        -0.866
1964            9        -1.168
1964           10        -0.846
1964           11         0.718
1964           12         1.477
1965            1         0.762
1965            2        -0.768
1965            3         1.391
1965            4         1.609
1965            5         0.506
1965            6         0.860
1965            7         1.051
1965            8         0.286
1965            9         1.838
1965           10         0.578
1965           11        -0.467
1965           12        -1.682
1966            1        -0.998
1966            2        -0.924
1966            3         0.433
1966            4         1.414
1966            5         1.299
1966            6         1.349
1966            7         0.286
1966            8        -0.232
1966            9         1.357
1966           10         0.903
1966           11         1.187
1966           12        -0.055
1967            1        -1.121
1967            2        -0.652
1967            3         0.507
1967            4         0.966
1967            5         0.577
1967            6         3.357
1967            7         0.870
1967            8         0.480
1967            9         1.101
1967           10         0.862
1967           11        -0.656
1967           12         0.686
1968            1         0.940
1968            2         3.242
1968            3        -0.551
1968            4         1.353
1968            5         1.989
1968            6         2.117
1968            7         0.515
1968            8         2.033
1968            9         1.631
1968           10         1.779
1968           11         1.140
1968           12         0.609
1969            1        -0.478
1969            2        -1.733
1969            3        -0.588
1969            4        -1.119
1969            5         0.401
1969            6         2.221
1969            7        -0.911
1969            8        -1.013
1969            9        -1.460
1969           10         0.857
1969           11         0.487
1969           12        -0.280
1970            1         1.400
1970            2         0.017
1970            3        -0.104
1970            4        -1.345
1970            5        -0.033
1970            6         0.525
1970            7        -1.039
1970            8        -1.864
1970            9        -0.662
1970           10        -1.594
1970           11         0.283
1970           12        -1.835
1971            1         1.072
1971            2         0.438
1971            3        -0.086
1971            4        -0.470
1971            5         0.218
1971            6         0.199
1971            7         1.339
1971            8        -0.429
1971            9        -1.402
1971           10        -0.765
1971           11        -0.772
1971           12        -1.216
1972            1        -0.534
1972            2         0.274
1972            3         2.583
1972            4         0.084
1972            5        -0.173
1972            6        -0.204
1972            7        -0.275
1972            8         0.771
1972            9         0.855
1972           10         0.373
1972           11        -1.520
1972           12         0.359
1973            1        -1.303
1973            2        -1.276
1973            3        -1.561
