Year        Month      SPMM Index (std)
------------------------------------------
1950            1         1.884
1950            2        -0.418
1950            3        -0.628
1950            4         0.016
1950            5        -0.040
1950            6         0.374
1950            7         1.683
1950            8        -0.980
1950            9         0.755
1950           10        -0.262
1950           11        -0.766
1950           12        -0.572
1951            1         0.269
1951            2        -0.405
1951            3        -0.225
1951            4         1.386
1951            5         3.087
1951            6         1.247
1951            7         0.150
1951            8         2.307
1951            9         0.970
1951           10         0.896
1951           11        -0.458
1951           12         0.797
1952            1         0.274
1952            2        -0.571
1952            3         0.437
1952            4         2.338
1952            5         0.645
1952            6        -0.781
1952            7         0.056
1952            8        -0.759
1952            9         1.677
1952           10        -0.042
1952           11         0.202
1952           12         1.748
1953            1         0.791
1953            2         1.665
1953            3        -1.419
1953            4         0.226
1953            5        -0.206
1953            6        -1.439
1953            7         0.937
1953            8         1.717
1953            9         0.727
1953           10        -2.138
1953           11        -0.977
1953           12        -0.458
1954            1        -1.432
1954            2        -1.862
1954            3        -0.842
1954            4         0.035
1954            5        -1.229
1954            6         2.473
1954            7        -0.874
1954            8         1.100
1954            9        -1.378
1954           10        -0.644
1954           11        -0.221
1954           12        -0.969
1955            1         0.352
1955            2        -1.669
1955            3        -1.456
1955            4        -1.236
1955            5         0.580
1955            6         1.383
1955            7        -1.089
1955            8        -1.176
1955            9        -0.563
1955           10         0.765
1955           11         2.107
1955           12         0.219
1956            1        -0.887
1956            2        -0.832
1956            3        -0.973
1956            4        -0.551
1956            5        -2.295
1956            6        -1.751
1956            7         0.497
1956            8         0.769
1956            9        -0.360
1956           10        -1.231
1956           11         0.016
1956           12         1.384
1957            1         0.844
1957            2        -1.265
1957            3        -0.450
1957            4        -0.030
1957            5         1.544
1957            6         0.984
1957            7         1.361
1957            8         0.533
1957            9        -0.978
1957           10         1.006
1957           11         1.627
1957           12        -0.159
1958            1         0.093
1958            2        -2.056
1958            3        -0.159
1958            4         2.058
1958            5         1.051
1958            6         0.131
1958            7         0.336
1958            8         0.048
1958            9        -0.801
1958           10        -1.213
1958           11        -1.046
1958           12         0.340
1959            1        -1.412
1959            2        -1.047
1959            3        -0.341
1959            4        -0.012
1959            5         1.191
1959            6         0.720
1959            7         1.914
1959            8        -1.625
1959            9         0.071
1959           10        -1.143
1959           11        -0.129
1959           12        -1.046
1960            1         1.155
1960            2        -0.277
1960            3         1.126
1960            4         1.062
1960            5         0.436
1960            6        -0.680
1960            7        -0.202
1960            8        -0.756
1960            9        -1.561
1960           10        -1.548
1960           11         0.683
1960           12         0.942
1961            1        -0.143
1961            2        -1.527
1961            3         0.368
1961            4        -1.234
1961            5         1.264
1961            6         0.642
1961            7         1.734
1961            8        -0.130
1961            9        -1.422
1961           10        -0.984
1961           11        -0.904
1961           12        -0.768
1962            1        -1.115
1962            2         0.741
1962            3         0.758
1962            4        -0.979
1962            5         0.216
1962            6         0.606
1962            7        -0.588
1962            8         0.198
1962            9        -0.631
1962           10        -1.640
1962           11         1.418
1962           12         1.648
1963            1        -0.395
1963            2         0.136
1963            3        -0.807
1963            4         1.089
1963            5         0.338
1963            6         0.404
1963            7        -0.915
1963            8         0.892
1963            9        -0.618
1963           10        -0.461
1963           11         0.257
1963           12        -0.072
1964            1        -0.135
1964            2        -0.320
1964            3        -0.926
1964            4        -0.922
1964            5         0.111
1964            6        -0.716
1964            7        -0.113
1964            8        -0.196
1964            9        -0.254
1964           10         1.331
1964           11         1.212
1964           12         1.129
1965            1        -0.048
1965            2         0.591
1965            3         0.486
1965            4         0.780
1965            5         0.353
1965            6         1.778
1965            7         1.587
1965            8         0.120
1965            9        -1.418
1965           10        -2.673
1965           11         0.616
1965           12        -0.946
1966            1        -1.752
1966            2        -1.518
1966            3        -1.570
1966            4         0.359
1966            5         0.980
1966            6        -1.024
1966            7         0.381
1966            8        -0.032
1966            9        -0.788
1966           10        -1.113
1966           11         0.622
1966           12         0.186
1967            1         0.557
1967            2        -0.811
1967            3        -1.289
1967            4         0.343
1967            5         0.347
1967            6        -1.923
1967            7        -0.914
1967            8        -1.494
1967            9        -0.895
1967           10        -0.046
1967           11         0.181
1967           12         0.989
1968            1        -0.387
1968            2         1.509
1968            3        -2.392
1968            4         0.502
1968            5         0.303
1968            6        -1.306
1968            7        -0.906
1968            8         0.515
1968            9         0.839
1968           10        -0.667
1968           11         1.481
1968           12         0.206
1969            1         0.049
1969            2        -2.198
1969            3        -1.000
1969            4        -0.618
1969            5         1.393
1969            6        -0.296
1969            7         1.212
1969            8        -0.472
1969            9        -0.936
1969           10        -0.339
1969           11        -1.487
1969           12        -0.554
1970            1        -1.009
1970            2        -0.959
1970            3        -0.348
1970            4         0.872
1970            5        -0.908
1970            6        -1.705
1970            7        -0.187
1970            8        -0.770
1970            9        -0.995
1970           10        -0.058
1970           11        -1.328
1970           12        -0.368
1971            1        -0.538
1971            2        -1.082
1971            3        -0.502
1971            4        -1.461
1971            5         0.799
1971            6        -1.645
1971            7         0.630
1971            8        -1.719
1971            9        -0.799
1971           10         1.110
1971           11         0.116
1971           12        -0.421
1972            1         1.988
1972            2         1.108
1972            3        -0.620
1972            4         0.222
1972            5         1.250
1972            6         2.401
1972            7        -1.472
1972            8         0.062
1972            9        -1.507
1972           10        -1.902
1972           11        -1.259
1972           12         0.234
1973            1        -1.486
1973            2        -1.382
1973            3        -0.913
1973            4         0.610
1973            5         0.810
1973            6        -1.552
1973            7        -0.474
1973            8        -1.747
1973            9        -1.258
1973           10        -1.326
1973           11         0.758
1973           12        -0.713
1974            1        -0.249
1974            2        -1.727
1974            3        -0.828
1974            4        -0.662
1974            5         0.590
1974            6        -0.890
1974            7        -0.781
1974            8        -0.019
1974            9        -0.886
1974           10        -1.638
1974           11        -1.730
1974           12        -0.050
1975            1        -0.229
1975            2         0.420
1975            3        -0.728
1975            4         0.723
1975            5         0.301
1975            6         1.032
1975            7         0.292
1975            8        -1.338
1975            9        -1.181
1975           10        -0.384
1975           11         1.106
1975           12         0.822
1976            1         0.492
1976            2        -0.344
1976            3        -1.013
1976            4        -0.626
1976            5         1.552
1976            6         0.409
1976            7         0.878
1976            8        -0.462
1976            9         0.515
1976           10         3.121
1976           11         0.554
1976           12         2.246
1977            1         0.845
1977            2        -0.682
1977            3        -0.098
1977            4         1.089
1977            5         0.774
1977            6         0.098
1977            7        -1.774
1977            8        -1.122
1977            9         1.294
1977           10         1.271
1977           11         0.222
1977           12         0.114
1978            1         0.032
1978            2         0.521
1978            3        -0.206
1978            4         1.555
1978            5         0.548
1978            6        -0.166
1978            7         1.726
1978            8        -1.222
1978            9         0.089
1978           10         2.277
1978           11         2.041
1978           12        -0.218
1979            1         0.803
1979            2         0.158
1979            3        -0.500
1979            4         2.433
1979            5         0.802
1979            6        -1.269
1979            7         2.245
1979            8         1.471
1979            9        -1.095
1979           10        -1.213
1979           11         2.202
1979           12         1.006
1980            1         0.234
1980            2         0.814
1980            3        -0.004
1980            4         1.416
1980            5         0.211
1980            6         0.968
1980            7         0.389
1980            8         0.358
1980            9         0.157
1980           10        -1.107
1980           11         1.128
1980           12         1.560
1981            1        -0.656
1981            2        -1.409
1981            3         0.525
1981            4         1.122
1981            5         1.402
1981            6        -0.797
1981            7        -0.046
1981            8         0.085
1981            9         0.487
1981           10         0.282
1981           11        -1.522
1981           12        -0.852
1982            1         0.486
1982            2        -1.280
1982            3        -0.937
1982            4         1.578
1982            5         0.591
1982            6         0.007
1982            7         0.636
1982            8         0.307
1982            9         0.848
1982           10         0.473
1982           11        -1.150
1982           12        -0.229
1983            1         1.395
1983            2         0.478
1983            3        -0.904
1983            4        -0.613
1983            5        -1.350
