,YEAR,MONTH,DAY,STID,TMIN (F)
0,2002,7,1,NRMN,67.39
1,2002,7,2,NRMN,70.68
2,2002,7,3,NRMN,68.13
3,2002,7,4,NRMN,68.13
4,2002,7,5,NRMN,72.09
5,2002,7,6,NRMN,68.07
6,2002,7,7,NRMN,70.57
7,2002,7,8,NRMN,70.93
8,2002,7,9,NRMN,72.75
9,2002,7,10,NRMN,73.92
10,2002,7,11,NRMN,71.44
11,2002,7,12,NRMN,69.66
12,2002,7,13,NRMN,64.76
13,2002,7,14,NRMN,66.88
14,2002,7,15,NRMN,67.71
15,2002,7,16,NRMN,69.76
16,2002,7,17,NRMN,73.04
17,2002,7,18,NRMN,71.22
18,2002,7,19,NRMN,73.8
19,2002,7,20,NRMN,74.12
20,2002,7,21,NRMN,73.4
21,2002,7,22,NRMN,73.74
22,2002,7,23,NRMN,70.83
23,2002,7,24,NRMN,71.02
24,2002,7,25,NRMN,67.93
25,2002,7,26,NRMN,74.82
26,2002,7,27,NRMN,75.25
27,2002,7,28,NRMN,76.8
28,2002,7,29,NRMN,66.78
29,2002,7,30,NRMN,67.84
30,2002,7,31,NRMN,72.34
31,2002,8,1,NRMN,76.06
32,2002,8,2,NRMN,75.45
33,2002,8,3,NRMN,73.45
34,2002,8,4,NRMN,76.35
35,2002,8,5,NRMN,75.31
36,2002,8,6,NRMN,71.53
37,2002,8,7,NRMN,72.32
38,2002,8,8,NRMN,75.13
39,2002,8,9,NRMN,68.58
40,2002,8,10,NRMN,69.08
41,2002,8,11,NRMN,72.0
42,2002,8,12,NRMN,69.31
43,2002,8,13,NRMN,65.64
44,2002,8,14,NRMN,64.36
45,2002,8,15,NRMN,70.34
46,2002,8,16,NRMN,70.3
47,2002,8,17,NRMN,75.43
48,2002,8,18,NRMN,70.75
49,2002,8,19,NRMN,71.1
50,2002,8,20,NRMN,74.12
51,2002,8,21,NRMN,78.69
52,2002,8,22,NRMN,76.66
53,2002,8,23,NRMN,74.86
54,2002,8,24,NRMN,75.87
55,2002,8,25,NRMN,68.47
56,2002,8,26,NRMN,69.15
57,2002,8,27,NRMN,66.7
58,2002,8,28,NRMN,67.32
59,2002,8,29,NRMN,68.86
60,2002,8,30,NRMN,66.92
61,2002,8,31,NRMN,64.62
62,2002,9,1,NRMN,65.97
63,2002,9,2,NRMN,71.31
64,2002,9,3,NRMN,71.85
65,2002,9,4,NRMN,69.4
