Year          Month         NINO34 Anomaly [C]
============================================
1950              1           -1.840
1950              2           -1.630
1950              3           -1.300
1950              4           -1.430
1950              5           -1.720
1950              6           -1.170
1950              7           -0.860
1950              8           -0.950
1950              9           -1.040
1950             10           -0.830
1950             11           -1.100
1950             12           -1.190
1951              1           -1.210
1951              2           -1.050
1951              3           -0.610
1951              4           -0.560
1951              5           -0.230
1951              6           -0.230
1951              7            0.440
1951              8            0.430
1951              9            0.690
1951             10            0.640
1951             11            0.740
1951             12            0.430
1952              1            0.180
1952              2           -0.040
1952              3           -0.010
1952              4            0.080
1952              5            0.070
1952              6           -0.360
1952              7           -0.560
1952              8           -0.470
1952              9           -0.290
1952             10           -0.250
1952             11           -0.370
1952             12           -0.150
1953              1            0.180
1953              2            0.360
1953              3            0.350
1953              4            0.400
1953              5            0.380
1953              6            0.330
1953              7            0.240
1953              8            0.230
1953              9            0.310
1953             10            0.230
1953             11            0.230
1953             12            0.300
1954              1            0.360
1954              2            0.390
1954              3           -0.120
1954              4           -0.930
1954              5           -0.850
1954              6           -0.760
1954              7           -0.910
1954              8           -1.200
1954              9           -1.450
1954             10           -1.280
1954             11           -1.070
1954             12           -1.320
1955              1           -1.130
1955              2           -0.930
1955              3           -0.950
1955              4           -1.140
1955              5           -1.250
1955              6           -1.130
1955              7           -0.980
1955              8           -1.330
1955              9           -1.190
1955             10           -2.130
1955             11           -2.450
1955             12           -2.100
1956              1           -1.390
1956              2           -0.830
1956              3           -0.710
1956              4           -0.830
1956              5           -0.680
1956              6           -0.700
1956              7           -0.910
1956              8           -1.020
1956              9           -0.920
1956             10           -0.950
1956             11           -1.100
1956             12           -0.980
1957              1           -0.580
1957              2           -0.250
1957              3            0.320
1957              4            0.550
1957              5            0.680
1957              6            0.590
1957              7            0.830
1957              8            0.820
1957              9            0.710
1957             10            0.700
1957             11            1.060
1957             12            1.400
1958              1            1.700
1958              2            1.590
1958              3            1.010
1958              4            0.550
1958              5            0.440
1958              6            0.360
1958              7            0.200
1958              8           -0.030
1958              9           -0.320
1958             10           -0.180
1958             11            0.160
1958             12            0.090
1959              1            0.470
1959              2            0.420
1959              3            0.220
1959              4            0.140
1959              5           -0.110
1959              6           -0.350
1959              7           -0.720
1959              8           -0.610
1959              9           -0.650
1959             10           -0.360
1959             11           -0.410
1959             12           -0.250
1960              1           -0.420
1960              2           -0.560
1960              3           -0.360
1960              4           -0.290
1960              5           -0.290
1960              6           -0.450
1960              7           -0.210
1960              8           -0.080
1960              9           -0.230
1960             10           -0.430
1960             11           -0.390
1960             12           -0.280
1961              1           -0.290
1961              2           -0.220
1961              3           -0.330
1961              4           -0.290
1961              5           -0.060
1961              6            0.170
1961              7           -0.120
1961              8           -0.500
1961              9           -0.850
1961             10           -0.850
1961             11           -0.530
1961             12           -0.490
1962              1           -0.550
1962              2           -0.550
1962              3           -0.530
1962              4           -0.570
1962              5           -0.680
1962              6           -0.510
1962              7           -0.350
1962              8           -0.410
1962              9           -0.750
1962             10           -0.730
1962             11           -0.850
1962             12           -0.940
1963              1           -0.810
1963              2           -0.440
1963              3           -0.010
1963              4            0.070
1963              5           -0.200
1963              6           -0.000
1963              7            0.620
1963              8            0.700
1963              9            0.640
1963             10            0.770
1963             11            0.870
1963             12            1.020
1964              1            0.760
1964              2            0.440
1964              3           -0.220
1964              4           -0.730
1964              5           -0.970
1964              6           -1.030
1964              7           -0.860
1964              8           -1.190
1964              9           -1.340
1964             10           -1.250
1964             11           -1.340
1964             12           -1.270
1965              1           -0.890
1965              2           -0.460
1965              3           -0.210
1965              4           -0.180
1965              5            0.150
1965              6            0.500
1965              7            0.740
1965              8            1.140
1965              9            1.200
1965             10            1.470
1965             11            1.560
1965             12            1.380
1966              1            1.080
1966              2            0.830
1966              3            0.890
1966              4            0.450
1966              5           -0.240
1966              6            0.080
1966              7            0.140
1966              8           -0.280
1966              9           -0.340
1966             10           -0.390
1966             11           -0.320
1966             12           -0.480
1967              1           -0.490
1967              2           -0.480
1967              3           -0.660
1967              4           -0.890
1967              5           -0.420
1967              6           -0.070
1967              7           -0.110
1967              8           -0.310
1967              9           -0.720
1967             10           -0.600
1967             11           -0.470
1967             12           -0.590
1968              1           -0.890
1968              2           -1.040
1968              3           -0.950
1968              4           -0.710
1968              5           -0.760
1968              6           -0.000
1968              7            0.330
1968              8            0.190
1968              9            0.070
1968             10            0.200
1968             11            0.650
1968             12            0.730
1969              1            0.880
1969              2            1.120
1969              3            0.690
1969              4            0.600
1969              5            0.590
1969              6            0.300
1969              7            0.020
1969              8            0.230
1969              9            0.510
1969             10            0.720
1969             11            0.610
1969             12            0.610
1970              1            0.380
1970              2            0.200
1970              3            0.020
1970              4            0.160
1970              5           -0.140
1970              6           -0.550
1970              7           -0.800
1970              8           -1.070
1970              9           -0.960
1970             10           -1.000
1970             11           -0.900
1970             12           -1.220
1971              1           -1.580
1971              2           -1.430
1971              3           -1.230
1971              4           -1.020
1971              5           -0.850
1971              6           -0.990
1971              7           -0.990
1971              8           -0.940
1971              9           -0.880
1971             10           -1.130
1971             11           -1.040
1971             12           -1.140
1972              1           -0.830
1972              2           -0.410
1972              3           -0.120
1972              4            0.130
1972              5            0.350
1972              6            0.540
1972              7            0.900
1972              8            1.170
1972              9            1.270
1972             10            1.680
1972             11            1.960
1972             12            2.120
1973              1            1.770
1973              2            1.170
1973              3            0.390
1973              4           -0.410
1973              5           -0.790
1973              6           -0.950
1973              7           -1.330
1973              8           -1.470
1973              9           -1.510
1973             10           -1.760
1973             11           -2.240
1973             12           -2.250
1974              1           -2.150
1974              2           -1.710
1974              3           -1.420
1974              4           -1.170
1974              5           -1.070
1974              6           -0.980
1974              7           -0.800
1974              8           -0.560
1974              9           -0.590
1974             10           -0.870
1974             11           -1.110
1974             12           -0.990
1975              1           -0.490
1975              2           -0.610
1975              3           -0.890
1975              4           -0.810
1975              5           -0.940
1975              6           -1.400
1975              7           -1.300
1975              8           -1.460
1975              9           -1.620
1975             10           -1.920
1975             11           -1.640
1975             12           -1.930
1976              1           -1.950
1976              2           -1.250
1976              3           -0.720
1976              4           -0.800
1976              5           -0.640
1976              6           -0.350
1976              7           -0.020
1976              8            0.160
1976              9            0.300
1976             10            0.700
1976             11            0.680
1976             12            0.480
1977              1            0.640
1977              2            0.320
1977              3            0.240
1977              4           -0.180
1977              5            0.060
1977              6            0.270
1977              7            0.280
1977              8           -0.000
1977              9            0.380
1977             10            0.590
1977             11            0.540
1977             12            0.680
1978              1            0.650
1978              2            0.340
1978              3           -0.090
1978              4           -0.540
1978              5           -0.550
1978              6           -0.530
1978              7           -0.470
1978              8           -0.700
1978              9           -0.620
1978             10           -0.380
1978             11           -0.300
1978             12           -0.200
1979              1           -0.220
1979              2           -0.220
1979              3            0.150
1979              4            0.070
1979              5           -0.170
1979              6           -0.140
1979              7           -0.330
1979              8           -0.160
1979              9            0.330
1979             10            0.220
1979             11            0.350
1979             12            0.400
1980              1            0.430
1980              2            0.200
1980              3            0.050
1980              4           -0.010
1980              5            0.070
1980              6            0.300
1980              7            0.070
1980              8           -0.310
1980              9           -0.260
1980             10           -0.270
1980             11           -0.110
1980             12           -0.100
1981              1           -0.500
1981              2           -0.700
1981              3           -0.580
