  OB  D1  D2  D3  D4  D5  D6  D7  D1  D2  D3  D4  D5  D6  D7
   0  40  20  20  20   0   0   0  30  40  20  20  20   0  20
   0  10   0   0   0   0   0   0   0   0   0   0   0  20  30
   0   0   0   0   0   0   0   0   0   0   0   0   0   0  20
   0   0   0   0   0   0   0   0   0   0   0   0   0   0  20
   5  30  30  30  20  20  30  20  60  40  40  40  40  40   0
   0  20  20   0   0   0   0   0  20  30   0   0   0   0  20
   0   0   0   0   0   0   0   0   0   0  20   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0  20
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0  20  10   0   0   0   0  20  20  30  20   0   0   0  20
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0  20  20   0   0   0   0   0   0  20
   0   0   0   0   0   0   0   0   0   0   0   0   0   0  20
   0   0   0   0   0   0   0  20   0   0   0   0   0   0  20
   0  20  20  20  20  20  20  20  10  20  10  10  30   0  20
  69  40  20  20  20  20   0   0  30  40  30  20  30  30  20
   0  20   0   0   0   0  10   0   0   0  30  20  20  30   0
 131  40   0  20  20  20   0   0  30   0  30  40  40  20  20
  16  50  30  20  20  20  10  20  80  60  40  30  20  30  30
   0  20  10   0   0   0   0   0  30   0  15   0  20   0   0
   0   0   0   0   0   0   0   0   0   0  20  50   0   0   0
   0   0   0   0   0  20  20   0   0   0   0  30  20   0   0
   0   0   0   0   0   0   0   0   0   0  15   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0  20   0   0   0  10   0   0   0   0   0
   0  40  30  30  10  10   0   0  40  30  30   0  10   0   0
   0   0   0   0  20   0   0   0   0   0  20  20   0   0   0
   0   0   0   0   0   0   0  20   0   0   0   0   0   0   0
   0   0   0   0   0   0   0  20   0   0   0   0   0   0  20
   0   0   0   0   0   0   0  20   0   0   0   0   0   0   0
   0   0   0   0   0  20  20   0   0   0   0   0   0   0  30
   0   0   0  10  20  30  30  30  15  15  15  30  20  30  20
   0  20  20  20   0   0  20  20  20  40  30  20  20  30  40
   0   0   0   0   0   0   0   0   0  30  30   0   0   0  30
   0   0   0   0   0   0   0   0   0   0   0   0  30   0   0
   0  20  30   0   0  20  20  20  30  30  20  15  20  40  20
   0  20  20  50  30  30  30   0   0   0  20  20  40  40  20
   0  20  30  20  50  40  40  30  20  30  30  40  40   0  20
  64  60  40  30  30  40  40  20  70  70  60  50  60  30   0
   0  30  30  30   0   0  20  10  30  40  50  50  50  50   0
   0   0   0   0   0   0   0   0   0  20   0  30  20  20  30
   0  10   0   0   0   0   0   0   0   0   0   0   0  20  20
   0   0  10  10  10   0   0   0   0  20   0   0   0   0  20
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   5  50  40   0   0   0   0   0  60  30   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0  15
   0  20   0   0  20  20  20  20  20   0  20  20  20  20  20
   0  80  40  40  30  30  20  20  90  50  50  40  30  30  30
   0   0   0   0   0   0   0   0  20  40   0   0   0  20   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0  20   0  20   0   0   0   0  15   0   0   0   0  20
   0  40  40   0  20   0  20   0  60  40  40  30  20  20  20
   8  60  60  60   0   0   0   0  50  60  60  20  30   0  15
 127  60  40  40  40   0   0   0  60  50  50  50   0   0   0
   0   0   0   0   0  20   0   0   0  30  30   0  30   0   0
   0   0   0   0   0   0   0  20   0   0   0   0   0   0  20
   0   0  10  20   0   0   0   0   0   0  20   0   0   0   0
   0   0   0   0   0   0   0  20   0   0  40   0  20  30  20
   0   0   0   0   0   0   0  20   0   0   0   0   0   0  30
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0  10  20  20   0   0   0   0   0  20  20
   0   0   0   0   0   0  20  20  20  20  20   0  20  20  20
   0  20  20   0   0   0   0  30  20  30  20  30  20  30  20
   0  20  20  20  20   0  20  20  30   0   0   0  20  20  30
   0  30  20  20  20   0   0   0  20  40  50  60  30  15  20
   0   0   0   0   0   0   0  20   0   0   0   0   0   0  20
  84  80  40  30  30  20  20  20  80  40  60  60  20  20  20
   0  20  40  40  30  30   0   0  20  30  20  50  40  40  20
   0  20  20   0  20  20  20   0  30  30   0   0   0   0  20
   0   0   0   0   0   0   0   0   0   0   0   0   0   0  20
   0  20  20  20  30  40  20  20  20  30  40  50  30  20  30
   4  30  40  20  40  30  20  20  30  40  30  40  50  40  30
   0   0   0   0  30  20  20   0   0   0   0  40  40  20  30
   0  60  60  20  20  30   0   0  40  30  40  40  50   0   0
   0  30  40  40  30  40  30  20  30  40  70  50  50  30  20
   0  20  30  20  20   0   0   0  20  40  40  50  20  20  20
   2  50  40  30  20   0   0   0  60  40  40  30   0   0   0
   0  50  50  40  20   0   0   0  60  70  60  40  20   0   0
  14  60  30  20  20  30   0   0  60  40  40  40  30   0  20
   0   0   0   0   0   0   0   0   0   0   0   0   0  20  20
   0   0   0   0   0   0   0   0   0   0   0   0   0   0  20
   0   0   0   0   0  20  20  20   0   0   0   0   0  20  20
   0   0   0   0   0   0  20  20   0   0   0   0  20  20  30
   0   0   0   0   0   0   0   0   0   0   0  15  20  30  30
   0   0   0   0  20   0   0   0   0   0   0   0  20  30  30
   0   0  20  20  20  20   0   0   0  10   0  20  20  30  40
   0   0   0   0   0   0   0  20   0  20  20  20  20  20  30
   0   0   0   0   0   0   0   0   0   0   0  20  20   0  20
   5  30   0   0  20   0   0   0  30  15   0  20  20  20   0
  30  30  20  20   0   0   0   0  30  30  20   0  30  30  20
   0  50  40   0  30  30   0   0  60  40  20  40  20  20  20
   0   0  20   0   0   0  20   0  30  30  20   0   0  20   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
 129  30   0   0   0   0  20   0  40   0   0   0   0  20   0
   0   0   0   0   0   0   0   0  20   0   0   0  10   0   0
   0  20   0   0   0   0   0   0  15   0   0   0   0   0   0
 150   0   0   0   0   0   0   0  20   0   0   0   0   0   0
   0  20   0   0   0   0   0   0   0  15   0   0   0   0   0
   0  30  30   0   0   0   0   0  30   0   0   0   0   0   0
   0  20  20  20  20  20  20  20  30   0  20  15  15   0  20
  14  20   0   0  20  20  20  20  20  10   0  20  20   0   0
   2  30  20   0   0  20  20   0  50  30  30   0  30  20   0
   0  40  20   0   0   0   0   0  50  20  30  30   0  20  15
   0   0  20   0   0   0   0   0   0  20   0   0   0   0   0
   0   0   0   0   0  20   0  20   0   0   0   0   0   0  20
   0   0   0   0   0  20  20  20   0  20   0   0   0   0   0
   0   0   0   0   0   0  20  20   0   0   0   0   0   0   0
   0   0   0   0   0  20  20  20   0   0   0   0   0  20  20
   0   0   0   0  10  20  20  20   0   0  20  20   0  20  20
   0  20  20   0   0   0   0  20   0   0   0   0   0  20  20
   0  30   0   0   0   0   0   0  20   0   0   0   0   0  20
   0   0  20  20  20  20  20   0   0   0  15  20  20  20  20
   0   0   0   0   0   0   0   0  20   0   0   0  20   0   0
   2  30   0   0   0   0   0   0  20  20   0   0   0  20   0
   0  20  20  20  20  20   0   0  10   0   0   0  15   0  20
   0  20  20  20  20  20  20  20  10   0   0   0  20  20  15
   0  30  30  20  20  20   0   0  10  30  20  20  20  20  20
   0  20  20  20  20  20  20   0  20  20  20  20  20   0   0
   0  30  20  20  20  20   0   0  40  30  30  30  30  20   0
   0  30  30  30   0   0   0   0  30  20   0   0   0   0   0
  20  40  20  20  20  20   0   0  50  60  20  20  20  20  20
  14  30  40  30  20  20  20   0  50  40  20  20  20  20  20
   0   0  30  40  20  20  20  20   0  30  30  20  20   0   0
   0   0  10  20   0   0   0   0   0   0  20   0   0  30  20
   0   0  10  20  20   0   0   0   0   0  20  30   0   0  20
   0  20  20  20  20  20  20  20  40  20  20  30  30   0   0
   0   0   0   0  20  30  20   0   0   0   0   0   0   0   0
   0  20   0  20  20  30   0   0  15   0   0  20  30  30   0
   0   0   0   0  20  20  20   0   0  20   0  20  20  20  20
   0  30  20  20  20   0   0   0  20  15  15   0  20  20  20
  75  70  40  60  40  20   0   0  60  40  40  40  40  30   0
  25  70  40   0  40  30  20  20  60  40  30  20  20  30  30
   0  20  30   0   0  20   0   0  30  40   0   0   0   0  30
   0  20   0   0   0   0   0   0  20  20   0   0   0   0   0
   0  20  20   0   0   0   0   0  15   0   0   0   0   0  15
  30  40  20   0   0   0   0   0  40  15   0   0   0   0  20
   0  40   0   0  20   0   0   0  20  30   0  30   0   0  20
   0  20   0   0  20  20  20   0  15   0  15  30  20  20   0
   8  30  20   0  20  20   0  20  20  20  20  15  40   0  20
   0  20   0   0  20  20  20   0  15   0   0  20   0  20   0
   0  10   0   0   0   0   0   0   5   0   0   0   0  15  15
   0   0   0   0   0   0   0   0   0   0   0   0   0   0  20
   0   0   0   0   0  20  20  20   0   0   0   0   0   0  20
   0   0   0   0   0   0  20  20  10   0   0   0   0   0  20
   0   0   0   0   0   0   0  20  15  15   0   0  20   0  20
  57  30  30  30  20  20  20  20  40  30  30   0  20  30  20
   0  30  30  30  30  30  30  20  20  30  40  40  20  20  40
   0   0   0  10  10  20  20  30   0   0  15  20  30  20  20
   0   0   0   0   0   0   0   0   0   0   0  15  20  20  20
   0   0   0   0   0   0   0   0   0   0   0  15  15  15  20
   0   0   0   0   0   0   0   0   0   0   0   0  15   0  15
  45  20  20  30   0   0   0   0  15  15   0   0   0   0   0
  50  40  40  30  30  20   0   0  30  40  30   0  20   0  15
   0  40  20   0   0   0  30  20  60   0   0   0   0  20  20
   0  20  40   0   0   0   0  20  30  40  20  20   0   0   0
   0   0   0  20   0   0   0   0   0  20  20  20  20   0   0
   0   0   0   0   0   0   0   0   0   0   0   0  20   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0  20
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0  15   0   0   0  20
   0  20  20  20  20   0  20  20   0   0  15  20  20   0   0
   0  20   0   0   0   0   0   0  20  20  30  15   0   0  20
   0   0   0  20  20  20   0   0  30   0  20  30  20  15   0
   2   0   0   0  40  40  30   0  15  30   0  30  30  30  30
   0  30  20  20  20  30   0   0  40  15  30  20  30   0  30
   0  40  30  40  40  30   0  20  60  50  50  30  20   0  20
  87  30  30  40  30  30  30   0  40  40  40  40  20  30   0
   0  10  10  10  30   0  20   0  30  30  30  30  20  30   0
   0   0   0   0   0  20   0   0   0   0   0   0  20   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0  20   0   0   0   0   0   0  20   0   0
   0  40   0   0   0   0  30   0   0   0   0   0   0  20   0
  19  70  50  20  20   0   0   0  50  50  20  20  20   0  20
   0  20  20  20  20  20  20   0  60  30  30  30  30  20  20
   4  40  60  40  40  20  20  20  40  60  40  40  30  20  30
  27  20  40  20   0   0   0   0  30  60   0  30  20  20   0
   0  20   0  20   0   0   0   0  30   0   0   0   0   0   0
   5   0   0   0   0   0   0   0  20   0   0   0   0   0   0
   5  40  20   0   0   0   0   0  40   0   0   0   0   0   0
   0   0   0  20  20  20  20   0   0   0   0   0   0   0  20
   0   0   0   0   0   0  20   0   0   0   0  20   0  20   0
   1  20  20   0  20  20   0   0  20   0   0  30  20   0  20
   6   0   0   0   0   0   0   0   0   0   0  20  20   0  20
   0   0   0  20  20   0   0   0   0   0   0   0  20   0   0
   0   0   0   0  30   0   0   0   0  15  20  20   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0  20   0   0   0   0   0   0   0   0   0   0   0   0   0
   0  40   0   0   0   0   0   0  30  40  20  20  15   0  20
  31  20   0   0   0   0   0   0  60  30  20   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0  20   0   0   0   0   0   0  20  30   0
   0  30  30  30  20   0   0  20  30  30  20  15   0  30  30
 102  60  40  30  20  30  30   0  70  60  50  30  40  30  20
 123  20  20  10   0   0   0  20  30  15   0  30   0  50  30
   0   0   0   0   0   0   0   0   0   0   0   0   0   0  30
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0  20   0  20  20   0   0   0  30  30   0   0   0   0   0
  30  50  50  30  20  20  20   0  50  60  20  20  30  20   0
   0   0   0   0   0  40  20  20   0   0   0   0   0  30   0
   0   0  20  20  20   0   0   0   0   0   0  15   0  30  20
   0  10  40  20  20  20  20   0  10  30  30  30  30  30  40
